test_label,scenario_clients,hz,run_id,delivery_ratio_client_sent_vs_expected,errors_total
load_http-post-long-polling,1,1,run1,0.9933333333333332,0
load_http-post-long-polling,100,1,run1,0.9933333333333332,0
load_http-post-long-polling,500,1,run1,0.99334,0
load_websocket,1,1,run1,0.9966666666666668,0
load_websocket,100,1,run1,0.9732333333333332,3
load_webrtc-reliable-ordered,1,1,run1,0.9933333333333332,0
load_webrtc-reliable-ordered,100,1,run1,0.9932666666666666,0
load_webrtc-reliable-ordered,500,1,run1,0.9880466666666666,0
load_webrtc-unreliable-unordered,1,1,run1,0.9933333333333332,0
load_webrtc-unreliable-unordered,100,1,run1,0.9966333333333334,0
load_webrtc-unreliable-unordered,500,1,run1,0.9902666666666666,0
load_websocket,500,1,run1_ws500_retry5,0.99332,0
load_http-post-long-polling,1,1,run2,0.9966666666666668,0
load_http-post-long-polling,100,1,run2,0.9933333333333332,0
load_http-post-long-polling,500,1,run2,0.9966466666666668,0
load_websocket,1,1,run2,0.9933333333333332,0
load_websocket,100,1,run2,0.9933333333333332,0
load_websocket,500,1,run2,0.99332,0
load_webrtc-reliable-ordered,1,1,run2,0.9966666666666668,0
load_webrtc-reliable-ordered,100,1,run2,0.9933,0
load_webrtc-reliable-ordered,500,1,run2,0.9911066666666668,0
load_webrtc-unreliable-unordered,1,1,run2,0.9933333333333332,0
load_webrtc-unreliable-unordered,100,1,run2,0.9933333333333332,0
load_webrtc-unreliable-unordered,500,1,run2,0.9948266666666666,0
load_http-post-long-polling,1,1,run3,0.9933333333333332,0
load_http-post-long-polling,100,1,run3,0.9966666666666668,0
load_http-post-long-polling,500,1,run3,0.9966466666666668,0
load_websocket,1,1,run3,0.9933333333333332,0
load_websocket,100,1,run3,0.9933333333333332,0
load_websocket,500,1,run3,0.99332,0
load_webrtc-reliable-ordered,1,1,run3,0.9966666666666668,0
load_webrtc-reliable-ordered,100,1,run3,0.9933333333333332,0
load_webrtc-reliable-ordered,500,1,run3,0.99092,0
load_webrtc-unreliable-unordered,1,1,run3,0.9933333333333332,0
load_webrtc-unreliable-unordered,100,1,run3,0.9933333333333332,0
load_webrtc-unreliable-unordered,500,1,run3,0.9911066666666668,0
